param_set,Nb,N,u_per_site,Gs,n_shared_mutations
10278_rep0,25,8521337052,7.780265133417464e-09,8694,8
10279_rep0,602,131826172,1.068708315942343e-09,1381,5
1027_rep0,18,603993343,3.0581410116253314e-09,4157,3
10280_rep0,15,141108635,4.5934012354584195e-09,3554,4
10281_rep0,969,6901386993,1.962858590255442e-09,6531,23
10282_rep0,2,2969182660,6.217177371763796e-09,2185,2
10283_rep0,171,341197761,1.437224447266761e-09,7947,5
10284_rep0,276,767271965,9.799782753373586e-09,9242,21
10285_rep0,7,1175811363,1.3183913389678796e-09,853,2
10286_rep0,48,5436059035,4.194662456714002e-09,5083,4
10288_rep0,759,230587512,3.695126107959649e-09,8374,25
1028_rep0,1,474247093,4.606897903643917e-09,3135,4
10290_rep0,134,1021208274,8.974792940342786e-09,7265,21
10291_rep0,3,888430546,1.160070664010526e-09,2819,1
10292_rep0,5,392969175,5.885774158271638e-09,3842,1
10293_rep0,372,2563589955,1.4127527687618972e-09,6282,10
10294_rep0,1,5965438703,4.520228419555186e-09,583,3
10295_rep0,65,162701904,1.856157915460347e-09,9512,2
10296_rep0,1,114366223,8.214216588483902e-09,5478,4
10297_rep0,40,9855322612,1.0877661212744615e-09,4587,2
10299_rep0,225,424888979,2.64045738333515e-09,1055,4
1029_rep0,73,2318892744,1.957588359097998e-09,6959,1
102_rep0,9,8036803930,4.631973190555855e-09,234,1
10300_rep0,88,616167623,5.542012452807568e-09,2502,9
10302_rep0,498,3806610999,7.285385168271468e-09,3294,51
10303_rep0,28,245993150,1.773464665628362e-09,6810,1
10304_rep0,566,238289528,8.053201754180104e-09,4698,38
10305_rep0,20,3652302279,1.042144240973173e-09,5435,4
10306_rep0,99,1750410799,3.3157389278232022e-09,1118,3
10307_rep0,3,641845163,2.508468487824312e-09,8967,1
10308_rep0,12,438326657,5.033267605040185e-09,7674,3
10309_rep0,200,2143269189,2.069101889835598e-09,2449,5
1030_rep0,6,8954579387,6.235441821853222e-09,1443,3
10310_rep0,2,9558647451,6.553696523109176e-09,6882,7
10312_rep0,1,157536944,4.090397182758138e-09,1648,3
10313_rep0,60,5727508810,3.1595897829723483e-09,8417,8
10314_rep0,8,2646127505,9.840338024368873e-09,2757,6
10315_rep0,335,409513047,1.3016049501457414e-09,7357,6
10316_rep0,148,916120875,6.090140981931959e-09,6180,13
10318_rep0,829,4570774115,4.632697832153419e-09,9439,49
10319_rep0,14,221611447,1.9292682983397552e-09,665,1
1031_rep0,411,102925089,1.4333679172135664e-09,8679,8
10320_rep0,68,191392988,4.383314125298839e-09,6468,5
10322_rep0,384,1225505202,5.983046725202508e-09,7837,23
10323_rep0,6,792101320,1.402677538747706e-09,2229,5
10324_rep0,3,355169946,8.663546076403877e-09,780,3
10325_rep0,123,3061351690,1.191366616640409e-09,9324,1
10326_rep0,16,6633792284,3.739724153464743e-09,4939,1
10327_rep0,685,136784503,2.784893037813782e-09,5136,9
10328_rep0,27,126497763,7.447490919322281e-09,9779,4
10329_rep0,443,8255504729,1.7197485758425955e-09,306,9
10330_rep0,4,1853132982,5.502486274636591e-09,5937,3
10331_rep0,78,505235382,2.348664715645001e-09,4196,3
10332_rep0,269,742532665,3.5066357276782682e-09,3173,7
10333_rep0,10,1518148211,2.5488849425744604e-09,6921,4
10334_rep0,47,3171251849,8.192231328140118e-09,1483,9
10335_rep0,1,275976721,1.1008955405716122e-09,8640,1
10336_rep0,7,309308835,3.2554695697425682e-09,5338,2
10337_rep0,292,3555516666,2.376858290243265e-09,4755,9
10338_rep0,1,1372971040,7.606123074543942e-09,9217,3
1033_rep0,252,6224066128,2.494314581630576e-09,3608,5
10340_rep0,922,529503448,6.9458588397206285e-09,2045,71
10341_rep0,15,1941464752,1.5963524667769935e-09,8040,1
10342_rep0,161,8056413986,5.131410977995651e-09,3771,6
10344_rep0,113,153323503,9.330441776364098e-09,8514,17
10345_rep0,4,7434310916,1.277070781017203e-09,1589,1
10346_rep0,633,2768172693,4.027385399755002e-09,7105,31
10347_rep0,23,321224860,2.9853890951904054e-09,2970,3
10349_rep0,33,1284074063,2.0432403665918383e-09,5811,2
1034_rep0,1,2490431677,7.794627829995268e-09,7876,4
10350_rep0,11,5138024137,6.4147203775763025e-09,102,4
10351_rep0,185,186813845,1.5103663700868556e-09,9963,1
10352_rep0,5,215160333,5.653928386431733e-09,3396,6
10353_rep0,84,4436164749,1.3808859989444695e-09,6679,2
10355_rep0,470,956757404,1.7989020495263867e-09,7780,13
10356_rep0,42,371525665,3.814885266361229e-09,8764,4
10357_rep0,1,2401507543,2.9328817950606242e-09,1302,1
10358_rep0,236,6456809720,9.176728393356015e-09,5541,22
10359_rep0,8,177534404,1.2083178885332482e-09,4573,1
1035_rep0,44,385421883,1.0670770072308451e-09,2190,2
10360_rep0,353,106624738,5.420714185258242e-09,558,16
10361_rep0,6,9278336651,2.217948151494166e-09,9565,1
10362_rep0,62,2238451519,7.0578092921384166e-09,4097,8
10364_rep0,19,582380942,8.633781706618429e-09,7483,3
10365_rep0,804,1587902683,1.1222128123094766e-09,2650,10
10367_rep0,141,268645227,2.7010532355177356e-09,1851,6
10368_rep0,17,272514342,6.179209209048183e-09,7750,5
10369_rep0,707,4215780757,1.4460586758396428e-09,2373,20
1036_rep0,450,991078589,6.649899388677139e-09,742,36
10370_rep0,3,1564477956,4.565439585869325e-09,6652,4
10371_rep0,126,569011601,1.9748933582154675e-09,3442,8
10372_rep0,396,468448806,4.150440620936908e-09,4466,11
10373_rep0,6,2271968851,3.0850248425306596e-09,5668,4
10374_rep0,70,9060241642,9.696277664079585e-09,1196,18
10375_rep0,1,105110838,1.3324560020524995e-09,8889,1
10376_rep0,46,173849296,4.915693177994628e-09,6101,9
10378_rep0,261,2453791322,6.7097410451811125e-09,9673,18
10379_rep0,9,376030101,1.5517446582649015e-09,431,2
1037_rep0,26,1150140153,1.5660842891337015e-09,9362,1
10380_rep0,4,945296983,7.864388967812541e-09,1880,6
10382_rep0,27,4492472491,3.3947490307970742e-09,2680,3
10383_rep0,430,219720992,2.4714424039483413e-09,7434,5
10384_rep0,2,190773814,3.455301138795924e-09,1011,2
10385_rep0,36,5203244786,2.609300941049882e-09,9092,4
10386_rep0,13,1256713530,8.31248124047352e-09,4862,6
10387_rep0,205,819839334,1.0749143328785772e-09,5212,2
10388_rep0,102,325119351,7.339363280556914e-09,6389,14
1038_rep0,79,4282578005,4.8719509187449895e-09,4900,13
10390_rep0,580,7341128877,5.582963316323018e-09,8071,76
10392_rep0,810,121737107,8.869982870019018e-09,2940,66
10393_rep0,14,7867047762,1.1737809240660452e-09,7154,1
10394_rep0,144,1970533547,3.6520456595567757e-09,1561,4
10396_rep0,7,655880176,4.4876841263294844e-09,9855,1
10397_rep0,327,1352716612,1.8696144729076147e-09,230,6
10398_rep0,1,3641102898,5.843282960844066e-09,5707,4
10399_rep0,58,313763686,1.4230166772476423e-09,4426,2
1039_rep0,4,207636135,2.1184672802318727e-09,5175,1
103_rep0,230,123251478,1.9296251043583656e-09,9860,4
10400_rep0,243,279971291,4.812144651575346e-09,2121,24
10401_rep0,8,3248274320,2.0140010069094423e-09,7964,2
10402_rep0,43,1495646784,6.2654232562231364e-09,3541,5
10404_rep0,31,517215196,9.553608292973122e-09,5106,3
10405_rep0,484,1881011650,1.2588168225868875e-09,4988,9
10406_rep0,5,8059756313,3.933722583722378e-09,9295,3
